Phase,x,y,Ux,Uy,Utot,PUx,PUy,PUtot,N,Q,M,pilenumber,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
4,1.2375,-1.828625,-0.240031891568859,-0.179392237501268,0.299661281859762,-8.55553480505478e-06,-9.9232820502948e-05,9.96009530113583e-05,-0.0188421072919817,0.0012857861252415,-0.0003094663037765,2.0,0.0,0.0,5.304025670643202e-05,0.0,0.0,3.049000931253833e-05,3.049000931253833e-05,3.049000931253833e-05,2.533628408271499e-05,0.0,0.0,0.0,3.0492822581369816e-05,3.0492822581369816e-05,5.304025670643202e-05
4,1.2375,-1.87146875,-0.240964262238239,-0.178300524579175,0.299757990287545,-8.45299018692458e-06,-9.92301356745884e-05,9.9589521884069e-05,-0.0244925265854041,0.0013346605506082,-0.0002532438789631,2.0,0.0,0.0,6.894610445360191e-05,0.0,0.0,2.4950723661031394e-05,2.4950723661031394e-05,2.4950723661031394e-05,2.6299349635500904e-05,0.0,0.0,0.0,2.4955477226350723e-05,2.4955477226350723e-05,6.894610445360191e-05
4,1.2375,-1.9143125,-0.241864921956133,-0.177214111856474,0.299839093371637,-8.34989714348922e-06,-9.92267450783402e-05,9.95774458456771e-05,-0.0301469325962622,0.0013547842937647,-0.0001955116351396,2.0,0.0,0.0,8.486317475209946e-05,0.0,0.0,1.9262683863704946e-05,1.9262683863704946e-05,1.9262683863704946e-05,2.6695885936065602e-05,0.0,0.0,0.0,1.9269885622133952e-05,1.9269885622133952e-05,8.486317475209946e-05
4,1.2375,-1.95715625,-0.242734107404407,-0.176134575224338,0.299905377555776,-8.24638755148044e-06,-9.92226632661186e-05,9.95647518616442e-05,-0.0358013386071882,0.0013456530017547,-0.0001375465445662,2.0,0.0,0.0,0.00010078024505078813,0.0,0.0,1.3551702959426921e-05,1.3551702959426921e-05,1.3551702959426921e-05,2.6515954760992346e-05,0.0,0.0,0.0,1.3561859617219418e-05,1.3561859617219418e-05,0.00010078024505078813
4,1.2375,-2.0,-0.243555178459863,-0.175060285030051,0.299942041650413,-8.1425923781353e-06,-9.92178684100509e-05,9.9551430037296e-05,-0.0414517579008141,0.0013067623216221,-8.06320884549534e-05,2.0,0.0,0.0,0.00011668609279853088,0.0,0.0,7.944235278217819e-06,7.944235278217819e-06,7.944235278217819e-06,2.574961788686837e-05,0.0,0.0,0.0,7.957850922470407e-06,7.957850922470407e-06,0.00011668609279853088
4,1.2375,-2.0,-0.243555178459863,-0.175060285030051,0.299942041650413,-8.1425923781353e-06,-9.92178684100509e-05,9.9551430037296e-05,-0.0414547676234385,0.00130516659405,-8.06320884539491e-05,2.0,0.0,0.0,0.00011669456512374055,0.0,0.0,7.94423527811887e-06,7.94423527811887e-06,7.94423527811887e-06,2.5718174238277313e-05,0.0,0.0,0.0,7.957852899648289e-06,7.957852899648289e-06,0.00011669456512374055
4,1.2375,-2.05102160301966,-0.243836934770663,-0.173793600862524,0.299433910002049,-8.01878468337236e-06,-9.92112545645795e-05,9.95347875874365e-05,-0.0481837176254392,0.0012766251722325,-1.47556928309537e-05,2.0,0.0,0.0,0.0001356364610560891,0.0,0.0,1.4537970898235726e-06,1.4537970898235726e-06,1.4537970898235726e-06,2.5155768440690287e-05,0.0,0.0,0.0,1.4721943393913925e-06,1.4721943393913925e-06,0.0001356364610560891
4,1.2375,-2.10204320603932,-0.243964480228455,-0.17253033454879,0.298806599580159,-7.89494333730545e-06,-9.92036439129151e-05,9.95173004853916e-05,-0.0549174153486662,0.0012412865882299,4.95233033946199e-05,2.0,0.0,0.0,0.0001545917217543161,0.0,0.0,4.879258139781628e-06,4.879258139781628e-06,4.879258139781628e-06,2.4459425257485853e-05,0.0,0.0,0.0,4.903156740216592e-06,4.903156740216592e-06,0.0001545917217543161
4,1.2375,-2.15306480905898,-0.243954035547074,-0.171271498073153,0.298072973467782,-7.77126388129545e-06,-9.91950364550576e-05,9.94989839125653e-05,-0.0616511130719244,0.00119891298103,0.0001118188618614,2.0,0.0,0.0,0.00017354698245263092,0.0,0.0,1.1016896178570056e-05,1.1016896178570056e-05,1.1016896178570056e-05,2.3624457661747952e-05,0.0,0.0,0.0,1.104701473368847e-05,1.104701473368847e-05,0.00017354698245263092
4,1.2375,-2.20408641207864,-0.243803685858807,-0.170016038020356,0.297230029476294,-7.64793730922975e-06,-9.91854394669645e-05,9.94798590034223e-05,-0.0683800630740188,0.0011492664896205,0.0001717405966333,2.0,0.0,0.0,0.00019248887838524325,0.0,0.0,1.6920654451839683e-05,1.6920654451839683e-05,1.6920654451839683e-05,2.2646178626558565e-05,0.0,0.0,0.0,1.6957706420141693e-05,1.6957706420141693e-05,0.00019248887838524325
