,x,y,Ux,Uy,N,Q,M,pile_number,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
230,1.2375,-12.0,-0.0062406976292065,-0.0554523383157512,-21.5976531402118,-0.0070801492415699,-1.04646665956154,2.0,0.0,0.0,0.04597132552379488,0.0,0.0,0.06779162814172844,0.06779162814172844,0.06779162814172844,0.00010549233770898831,0.0,0.0,0.0,0.06990499091214315,0.06990499091214315,0.06990499091214315
231,1.2375,-12.125,-0.0061031166861366,-0.055187268561998,-21.6234117987848,0.175426896068562,-1.0366158788779,2.0,0.0,0.0,0.046026153688254606,0.0,0.0,0.06715348028015124,0.06715348028015124,0.06715348028015124,0.002613814021694394,0.0,0.0,0.0,0.06927188710348607,0.06927188710348607,0.06927188710348607
232,1.2375,-12.25,-0.0059524455481654,-0.0549284138730296,-21.6491886318904,0.422866703914642,-0.999900811923865,2.0,0.0,0.0,0.04608102053781354,0.0,0.0,0.06477502498642075,0.06477502498642075,0.06477502498642075,0.0063006012462752635,0.0,0.0,0.0,0.06689848544022714,0.06689848544022714,0.06689848544022714
233,1.2375,-12.375,-0.0057917219895049,-0.0546776299436071,-21.6749654649959,0.736239466911689,-0.928129042461605,2.0,0.0,0.0,0.04613588738737227,0.0,0.0,0.060125545653273146,0.060125545653273146,0.060125545653273146,0.010969771939568884,0.0,0.0,0.0,0.06225406575829344,0.06225406575829344,0.06225406575829344
234,1.2375,-12.5,-0.0056181542607378,-0.0544330078342192,-21.7007241235688,1.11654537767472,-0.813058580287825,2.0,0.0,0.0,0.04619071555183178,0.0,0.0,0.052671114200053035,0.052671114200053035,0.052671114200053035,0.016636228705110494,0.0,0.0,0.0,0.05480469640324327,0.05480469640324327,0.05480469640324327
235,1.2375,-12.5,-0.0056181542607378,-0.0544330078342192,-21.7007366491824,1.11479853216393,-0.813058580287825,2.0,0.0,0.0,0.04619074221301836,0.0,0.0,0.052671114200053035,0.052671114200053035,0.052671114200053035,0.016610201172319556,0.0,0.0,0.0,0.05480469886624255,0.05480469886624255,0.05480469886624255
236,1.2375,-12.625,-0.0048797727238562,-0.0542020558697661,-21.726495307753,1.2124286180467,-0.667345520027849,2.0,0.0,0.0,0.04624557037747298,0.0,0.0,0.04323161079468281,0.04323161079468281,0.04323161079468281,0.018064863445542916,0.0,0.0,0.0,0.045370263574220616,0.045370263574220616,0.04624557037747298
237,1.2375,-12.75,-0.0041208653101491,-0.0539753667770532,-21.752272140854,1.27927922112986,-0.511214964221509,2.0,0.0,0.0,0.04630043722702212,0.0,0.0,0.03311724691688901,0.03311724691688901,0.03311724691688901,0.019060919624004843,0.0,0.0,0.0,0.03526097740430243,0.03526097740430243,0.04630043722702212
238,1.2375,-12.875,-0.0033455061058522,-0.0537542164955804,-21.7780489739549,1.31310652725884,-0.34882703216128,2.0,0.0,0.0,0.04635530407657105,0.0,0.0,0.0225975211288321,0.0225975211288321,0.0225975211288321,0.019564937474503205,0.0,0.0,0.0,0.024746335344863465,0.024746335344863465,0.04635530407657105
239,1.2375,-13.0,-0.0025556123579443,-0.0535372964283112,-21.8038076325255,1.31166672227907,-0.18442527065383,2.0,0.0,0.0,0.04641013224102568,0.0,0.0,0.011947336548056386,0.011947336548056386,0.011947336548056386,0.01954348476383587,0.0,0.0,0.0,0.014101236922685877,0.014101236922685877,0.04641013224102568
240,1.2375,-13.0,-0.0025556123579443,-0.0535372964283112,-21.8038175277708,1.29401147334174,-0.18442527065383,2.0,0.0,0.0,0.04641015330338554,0.0,0.0,0.011947336548056386,0.011947336548056386,0.011947336548056386,0.01928042625762561,0.0,0.0,0.0,0.014101238877700133,0.014101238877700133,0.04641015330338554
241,1.2375,-13.0725,-0.0024852041775175,-0.0534412509021256,-21.81875754975,0.962772272943728,-0.102743482888115,2.0,0.0,0.0,0.046441953638786795,0.0,0.0,0.00665587185439378,0.00665587185439378,0.00665587185439378,0.014345050406269362,0.0,0.0,0.0,0.008812726912181003,0.008812726912181003,0.046441953638786795
242,1.2375,-13.145,-0.0024158012945331,-0.0533654089346925,-21.8337081129645,0.638572433633204,-0.0446159076763193,2.0,0.0,0.0,0.046473776411559184,0.0,0.0,0.0028902832161571204,0.0028902832161571204,0.0028902832161571204,0.009514559159991318,0.0,0.0,0.0,0.005050095110108715,0.005050095110108715,0.046473776411559184
243,1.2375,-13.2175,-0.0023462808769701,-0.053315880920502,-21.8486586761789,0.310437233950813,-0.010224134377089,2.0,0.0,0.0,0.046505599184331364,0.0,0.0,0.0006623342554010149,0.0006623342554010149,0.0006623342554010149,0.004625432092462772,0.0,0.0,0.0,0.002825105010894697,0.002825105010894697,0.046505599184331364
244,1.2375,-13.29,-0.0022768039612979,-0.0532865136210809,-21.8635986981579,-0.0326080475628047,7.76288755499621e-17,2.0,0.0,0.0,0.046537399519732174,0.0,0.0,5.028911161439699e-18,5.028911161439699e-18,5.028911161439699e-18,0.0004858512226450481,0.0,0.0,0.0,0.0021657295540591735,0.0021657295540591735,0.046537399519732174
245,2.3375,-1.104,-0.267362221429858,-0.225387700543006,-7.13849123128013,4.20200233125025,-10.6051665574405,3.0,0.0,0.0,0.01519451683067061,0.0,0.0,0.6870180727442676,0.6870180727442676,0.6870180727442676,0.06260871541797021,0.0,0.0,0.0,0.6872489460859852,0.6872489460859852,0.6872489460859852
246,2.3375,-1.13119744429162,-0.267714075206358,-0.224620461613564,-7.14409578873222,4.00707727086486,-10.4935296870607,3.0,0.0,0.0,0.01520644631825772,0.0,0.0,0.6797860743480028,0.6797860743480028,0.6797860743480028,0.0597043839418217,0.0,0.0,0.0,0.6800173103576328,0.6800173103576328,0.6800173103576328
247,2.3375,-1.15839488858323,-0.268055221341443,-0.223855241710848,-7.14970430059112,3.81005623592605,-10.3872390563505,3.0,0.0,0.0,0.0152183842229317,0.0,0.0,0.6729004131124362,0.6729004131124362,0.6729004131124362,0.056768823003147076,0.0,0.0,0.0,0.673132012330793,0.673132012330793,0.673132012330793
248,2.3375,-1.18559233287484,-0.268387215790148,-0.223092646978539,-7.15531281244995,3.62133899125292,-10.2861589658569,3.0,0.0,0.0,0.015230322127605531,0.0,0.0,0.6663522982301662,0.6663522982301662,0.6663522982301662,0.0539569863274906,0.0,0.0,0.0,0.6665842609422769,0.6665842609422769,0.6665842609422769
249,2.3375,-1.21278977716646,-0.268707402136441,-0.222332059716237,-7.16091736990182,3.45132530166458,-10.1900692236835,3.0,0.0,0.0,0.015242251615192172,0.0,0.0,0.6601274653507477,0.6601274653507477,0.6601274653507477,0.05142382764039668,0.0,0.0,0.0,0.6603597915850485,0.6603597915850485,0.6603597915850485
250,2.3375,-1.21278977716646,-0.268707402136441,-0.222332059716237,-7.16092177955789,3.46010827384221,-10.1900692236835,3.0,0.0,0.0,0.01524226100129229,0.0,0.0,0.6601274653507477,0.6601274653507477,0.6601274653507477,0.051554691586259735,0.0,0.0,0.0,0.6603597918711792,0.6603597918711792,0.6603597918711792
251,2.3375,-1.27360511141677,-0.269356771879649,-0.22065031184831,-7.17345395100479,3.02175433490039,-9.99309503257762,3.0,0.0,0.0,0.015268936146474281,0.0,0.0,0.6473671915331736,0.6473671915331736,0.6473671915331736,0.045023334663525975,0.0,0.0,0.0,0.6476003319442187,0.6476003319442187,0.6476003319442187
252,2.3375,-1.33442044566709,-0.269958229370225,-0.218978472111551,-7.18599496477343,2.60641921177054,-9.82209648693264,3.0,0.0,0.0,0.015295630112833206,0.0,0.0,0.6362896577071099,0.6362896577071099,0.6362896577071099,0.038834951964702644,0.0,0.0,0.0,0.6365236140076584,0.6365236140076584,0.6365236140076584
253,2.3375,-1.3952357799174,-0.27050112862242,-0.217319469841866,-7.19853597854204,2.22075412756614,-9.67540011454246,3.0,0.0,0.0,0.015322324079192064,0.0,0.0,0.6267864539156174,0.6267864539156174,0.6267864539156174,0.03308864494244631,0.0,0.0,0.0,0.6270212275308051,0.6270212275308051,0.6270212275308051
254,2.3375,-1.45605111416771,-0.27097318679489,-0.215670249729162,-7.21106814998887,1.8714103054007,-9.5512171261425,3.0,0.0,0.0,0.015348999224373912,0.0,0.0,0.6187416997954375,0.6187416997954375,0.6187416997954375,0.027883515049414023,0.0,0.0,0.0,0.6189772915726273,0.6189772915726273,0.6189772915726273
255,2.3375,-1.45605111416771,-0.27097318679489,-0.215670249729162,-7.21107801027933,1.88879519580605,-9.5512171261425,3.0,0.0,0.0,0.015349020212331237,0.0,0.0,0.6187416997954375,0.6187416997954375,0.6187416997954375,0.028142545285515127,0.0,0.0,0.0,0.618977292216916,0.618977292216916,0.618977292216916
256,2.3375,-1.59203833562579,-0.27179572109158,-0.212074470118326,-7.23910079754031,1.24213585105591,-9.34051785277526,3.0,0.0,0.0,0.01540866765026791,0.0,0.0,0.6050922952402756,0.6050922952402756,0.6050922952402756,0.01850749330405029,0.0,0.0,0.0,0.605329722279032,0.605329722279032,0.605329722279032
257,2.3375,-1.72802555708386,-0.272294567998456,-0.208526214301344,-7.26714335683327,0.826715863096033,-9.20324160411924,3.0,0.0,0.0,0.015468357173634538,0.0,0.0,0.5961993407284906,0.5961993407284906,0.5961993407284906,0.0123178461418656,0.0,0.0,0.0,0.5964386108021417,0.5964386108021417,0.5964386108021417
258,2.3375,-1.86401277854193,-0.272475809628554,-0.205039057105793,-7.29518591612621,0.683193173838556,-9.10330208095907,3.0,0.0,0.0,0.01552804669700112,0.0,0.0,0.5897251134525117,0.5897251134525117,0.5897251134525117,0.010179396303102767,0.0,0.0,0.0,0.589966233686736,0.589966233686736,0.589966233686736
259,2.3375,-2.0,-0.272334911344845,-0.201598093334742,-7.3232087033871,0.852225725195616,-9.00294025152075,3.0,0.0,0.0,0.015587694134937604,0.0,0.0,0.5832235285632644,0.5832235285632644,0.5832235285632644,0.012697936291903487,0.0,0.0,0.0,0.5834665047717088,0.5834665047717088,0.5834665047717088
260,2.3375,-2.0,-0.272334911344845,-0.201598093334742,-7.32322052692396,1.17149040925404,-9.00294025152075,3.0,0.0,0.0,0.015587719301730415,0.0,0.0,0.5832235285632644,0.5832235285632644,0.5832235285632644,0.017454895039538128,0.0,0.0,0.0,0.583466505556294,0.583466505556294,0.583466505556294
261,2.3375,-2.1,-0.270945954747903,-0.199126446752772,-7.3438274537803,1.46844055600468,-8.87068261481309,3.0,0.0,0.0,0.01563158183329381,0.0,0.0,0.5746556870131609,0.5746556870131609,0.5746556870131609,0.021879373125370985,0.0,0.0,0.0,0.5749000333637719,0.5749000333637719,0.5749000333637719
262,2.3375,-2.2,-0.269076078250904,-0.19666606024147,-7.36444892026097,1.73590414598531,-8.71025878834435,3.0,0.0,0.0,0.01567547531293285,0.0,0.0,0.5642631988343223,0.5642631988343223,0.5642631988343223,0.025864509369877428,0.0,0.0,0.0,0.5645089193606087,0.5645089193606087,0.5645089193606087
263,2.3375,-2.3,-0.266737774766596,-0.194220204179827,-7.38507038674162,1.97967268155163,-8.52421095946056,3.0,0.0,0.0,0.015719368792571846,0.0,0.0,0.5522107506105536,0.5522107506105536,0.5522107506105536,0.02949659561543314,0.0,0.0,0.0,0.5524578491657904,0.5524578491657904,0.5524578491657904
264,2.3375,-2.4,-0.263930245448052,-0.19178537407521,-7.4056773135979,2.20553766505937,-8.31489643352439,3.0,0.0,0.0,0.015763231324135117,0.0,0.0,0.5386510520025994,0.5386510520025994,0.5386510520025994,0.032861923704414264,0.0,0.0,0.0,0.5388995314643776,0.5388995314643776,0.5388995314643776
265,2.3375,-2.4,-0.263930245448052,-0.19178537407521,-7.40569046548794,2.21126797094587,-8.31489643352439,3.0,0.0,0.0,0.015763259318372008,0.0,0.0,0.5386510520025994,0.5386510520025994,0.5386510520025994,0.03294730373570022,0.0,0.0,0.0,0.5388995323469377,0.5388995323469377,0.5388995323469377
266,2.3375,-2.5625,-0.25837676967832,-0.187889550708703,-7.43917672162955,2.58970947235581,-7.92503389747386,3.0,0.0,0.0,0.01583453593216265,0.0,0.0,0.5133951914084334,0.5133951914084334,0.5133951914084334,0.03858598129851694,0.0,0.0,0.0,0.5136459239366203,0.5136459239366203,0.5136459239366203
267,2.3375,-2.725,-0.251599208911039,-0.184021726831839,-7.47268660466064,2.97603136582916,-7.47278400961984,3.0,0.0,0.0,0.01590586283657609,0.0,0.0,0.4840977876694707,0.4840977876694707,0.4840977876694707,0.0443420746039216,0.0,0.0,0.0,0.4843507841420467,0.4843507841420467,0.4843507841420467
268,2.3375,-2.8875,-0.243614408220537,-0.180189781151296,-7.50619648769172,3.36935503171701,-6.9572211146734,3.0,0.0,0.0,0.01597718974098951,0.0,0.0,0.4506988754933999,0.4506988754933999,0.4506988754933999,0.050202492453189716,0.0,0.0,0.0,0.45095414608541945,0.45095414608541945,0.45095414608541945
269,2.3375,-3.05,-0.234444425691051,-0.176384864785745,-7.53968274383327,3.76880185037043,-6.37744234808076,3.0,0.0,0.0,0.016048466354780022,0.0,0.0,0.4131399660047916,0.4131399660047916,0.4131399660047916,0.05615414364759647,0.0,0.0,0.0,0.4133975192771321,0.4133975192771321,0.4133975192771321
